category|unit|abrev|description
Weights and Measures (English)|Inch|in|
Weights and Measures (English)|Foot|ft|
Weights and Measures (English)|Pound|lb|
Weights and Measures (English)|Ounce|oz|
Weights and Measures (English)|Quart|qt|
Weights and Measures (metric)|Millimeter|mm|
Weights and Measures (metric)|Centimeter|cm|
Weights and Measures (metric)|Meter|m|
Weights and Measures (metric)|Gram|g|
Weights and Measures (metric)|Kilogram|kg|
Weights and Measures (metric)|Kilometer|km|
Time and Temperature|Second|sec|
Time and Temperature|Minute|min|
Time and Temperature|Hour|hr|
Time and Temperature|Day|day|
Science|Ohm|Ohm|
Science|Volt|V|
Science|British Thermal Unit|Btu|
